Country,Year,fertility,life,pop_growth,population,child_mortality,child_mortality_rate,gdp,gdp_growth,region,long,lat
Afghanistan,1964,7.671,33.639,#NAME?,10474903,339.7,0.3397,1182,#NAME?,South Asia,34.023,65.5267
Afghanistan,1965,7.671,34.152,0.021297,10697983,334.1,0.3341,1182,0,South Asia,34.023,65.5267
Afghanistan,1966,7.671,34.662,0.021475,10927724,328.7,0.3287,1168,-0.011844332,South Asia,34.023,65.5267
Afghanistan,1967,7.671,35.17,0.02159,11163656,323.3,0.3233,1173,0.004280822,South Asia,34.023,65.5267
Afghanistan,1968,7.671,35.674,0.022158,11411022,318.1,0.3181,1187,0.011935209,South Asia,34.023,65.5267
Afghanistan,1969,7.671,36.172,0.023308,11676990,313,0.313,1178,-0.00758214,South Asia,34.023,65.5267
Afghanistan,1970,7.671,36.663,0.024657,11964906,307.8,0.3078,1174,-0.003395586,South Asia,34.023,65.5267
Afghanistan,1971,7.671,37.143,0.025758,12273101,302.1,0.3021,1092,-0.069846678,South Asia,34.023,65.5267
Afghanistan,1972,7.671,37.614,0.026121,12593688,296.4,0.2964,1046,-0.042124542,South Asia,34.023,65.5267
Afghanistan,1973,7.671,38.075,0.025553,12915499,290.8,0.2908,1137,0.086998088,South Asia,34.023,65.5267
Afghanistan,1974,7.671,38.529,0.023881,13223928,284.9,0.2849,1170,0.029023747,South Asia,34.023,65.5267
Afghanistan,1975,7.671,38.977,0.021296,13505544,279.4,0.2794,1201,0.026495726,South Asia,34.023,65.5267
Afghanistan,1976,7.67,39.417,0.019344,13766792,273.6,0.2736,1231,0.024979184,South Asia,34.023,65.5267
Afghanistan,1977,7.67,39.855,0.017187,14003408,267.8,0.2678,1119,-0.090982941,South Asia,34.023,65.5267
Afghanistan,1978,7.67,40.298,0.012586,14179656,261.6,0.2616,1179,0.053619303,South Asia,34.023,65.5267
Afghanistan,1979,7.669,40.756,0.004925,14249493,255.5,0.2555,1155,-0.020356234,South Asia,34.023,65.5267
Afghanistan,1980,7.669,41.242,-0.004475,14185729,249.1,0.2491,1158,0.002597403,South Asia,34.023,65.5267
Afghanistan,1981,7.67,41.77,-0.014214,13984092,242.7,0.2427,1284,0.10880829,South Asia,34.023,65.5267
Afghanistan,1982,7.671,42.347,-0.022255,13672870,236.2,0.2362,1402,0.091900312,South Asia,34.023,65.5267
Afghanistan,1983,7.673,42.977,-0.027267,13300056,229.7,0.2297,1454,0.037089872,South Asia,34.023,65.5267
Afghanistan,1984,7.676,43.661,-0.027689,12931791,222.9,0.2229,1429,-0.017193948,South Asia,34.023,65.5267
Afghanistan,1985,7.679,44.4,-0.023701,12625292,216,0.216,1384,-0.031490553,South Asia,34.023,65.5267
Afghanistan,1986,7.681,45.192,-0.020053,12372113,209.2,0.2092,1486,0.073699422,South Asia,34.023,65.5267
Afghanistan,1987,7.682,46.024,-0.015254,12183387,202.1,0.2021,1230,-0.172274563,South Asia,34.023,65.5267
Afghanistan,1988,7.682,46.88,-0.002192,12156685,195,0.195,1113,-0.095121951,South Asia,34.023,65.5267
Afghanistan,1989,7.682,47.744,0.021223,12414686,187.8,0.1878,1087,-0.023360288,South Asia,34.023,65.5267
Afghanistan,1990,7.687,48.601,0.049737,13032161,181,0.181,1028,-0.054277829,South Asia,34.023,65.5267
