,location,measure,mean,min,max,median
46,Boonsri,"1,2,3-Trichlorobenzene",0.001,0.001,0.001,0.001
469,Kohsoom,"1,2,3-Trichlorobenzene",0.00251875,0.001,0.0253,0.001
47,Boonsri,"1,2,4-Trichlorobenzene",0.001,0.001,0.001,0.001
470,Kohsoom,"1,2,4-Trichlorobenzene",0.001,0.001,0.001,0.001
48,Boonsri,Acenaphthene,0.003600333,0.003,0.03126,0.003
471,Kohsoom,Acenaphthene,0.003,0.003,0.003,0.003
49,Boonsri,Acenaphthylene,0.004,0.004,0.004,0.004
472,Kohsoom,Acenaphthylene,0.004,0.004,0.004,0.004
50,Boonsri,AGOC-3A,3.952450549,0.002,226.904,0.283
138,Busarakhan,AGOC-3A,0.493096774,0.006,5.813,0.28
235,Chai,AGOC-3A,0.667153846,0.004,6.865,0.2925
373,Kannika,AGOC-3A,0.377108696,0.001,4.877,0.2765
473,Kohsoom,AGOC-3A,0.3345625,0.001,2.401,0.282
563,Sakda,AGOC-3A,0.378591398,0,4.215,0.278
660,Somchair,AGOC-3A,0.439580645,0.003,5.396,0.275
51,Boonsri,Alachlor,0.186088889,0,0.86,0.146
139,Busarakhan,Alachlor,0.094928571,0,0.475,0.07
236,Chai,Alachlor,0.113486486,0,0.496,0.0695
374,Kannika,Alachlor,0.146292683,0,0.599,0.1025
474,Kohsoom,Alachlor,0.177821429,0,0.574,0.1085
564,Sakda,Alachlor,0.132,0,0.567,0.1015
661,Somchair,Alachlor,0.091689655,0,0.465,0.078
52,Boonsri,Aldrin,0.04058619,0,0.365,0.0145
140,Busarakhan,Aldrin,0.045685714,0,0.336,0.017
237,Chai,Aldrin,0.038234286,0,0.428,0.012
375,Kannika,Aldrin,0.045075269,0,0.501,0.018
475,Kohsoom,Aldrin,0.034458333,0,0.231,0.015
565,Sakda,Aldrin,0.048347368,0,0.385,0.017
662,Somchair,Aldrin,0.049228571,0,0.309,0.018
757,Tansanee,Aldrin,0.009,0.009,0.009,0.009
53,Boonsri,alpha-Hexachlorocyclohexane,0.019331169,0,0.145,0.005
141,Busarakhan,alpha-Hexachlorocyclohexane,0.0399375,0,0.529,0.005
238,Chai,alpha-Hexachlorocyclohexane,0.019646707,0,0.339,0.005
376,Kannika,alpha-Hexachlorocyclohexane,0.012177083,0,0.119,0.005
476,Kohsoom,alpha-Hexachlorocyclohexane,0.012322581,0,0.091,0.005
566,Sakda,alpha-Hexachlorocyclohexane,0.019119565,0,0.211,0.005
663,Somchair,alpha-Hexachlorocyclohexane,0.033516129,0,0.398,0.005
142,Busarakhan,Aluminium,141.04,50.4,520,111
