"","location","measure","mean","min","max","median","mean_rank","max_rank"
"1","Achara","Ammonium",0.11542962962963,0,0.912,0.076,10,10
"2","Achara","Anionic active surfactants",0.0194285714285714,0,0.034,0.034,9,10
"3","Achara","Arsenic",0.788709677419355,0,2.4,0.9,8,9
"4","Achara","Atrazine",0.00473333333333333,0,0.213,0,8,8
"5","Achara","Bicarbonates",117.648275862069,85.4,170.8,115.9,10,10
"6","Achara","Biochemical Oxygen",2.31025641025641,0.5,5.9,2.2,7,10
"7","Achara","Cadmium",0.165,0,0.5,0.25,10,10
"8","Achara","Calcium",36.876404494382,24.5,54.2,35.6,10,10
"9","Achara","Carbonates",140.3,140.3,140.3,140.3,1,1
"10","Achara","Chemical Oxygen Demand (Cr)",6.87083333333333,0,23,6.5,10,10
"11","Achara","Chemical Oxygen Demand (Mn)",2.78230769230769,0,7.4,2.7,10,10
"12","Achara","Chlorides",10.6386363636364,5.4,22.1,10.2,10,10
"13","Achara","Chromium",0.319298245614035,0,3.8,0,10,10
"14","Achara","Copper",4.65967741935484,0,56,2.9,10,9
"15","Achara","Cyanides",0.0025,0.0025,0.0025,0.0025,5,7
"16","Achara","Dissolved oxygen",10.0099166666667,6.4,15.1,9.8,2,4
"17","Achara","Dissolved silicates",5.24851136363636,0,16.833,5.462,3,3
"18","Achara","gamma-Hexachlorocyclohexane",0,0,0,0,10,10
"19","Achara","Inorganic nitrogen",1.62375,0.15,3.759,1.4505,2,3
"20","Achara","Iron",0.1975,0.08,0.38,0.195,9,10
"21","Achara","Lead",0.928571428571429,0,7.8,0.5,10,9
"22","Achara","Macrozoobenthos",2.37,2.37,2.37,2.37,2,9
"23","Achara","Magnesium",6.3247191011236,2.2,20.4,6.1,10,10
"24","Achara","Manganese",0.08855,0,0.9,0.0355,10,9
"25","Achara","Mercury",0.2092375,0,1,0,2,4
"26","Achara","Nickel",1.33125,0,16.9,0,10,8
"27","Achara","Nitrates",1.18524281481481,0.21,3.73126,1.08,8,7
"28","Achara","Nitrites",0.0339422222222222,0.003,0.21,0.024,7,8
"29","Achara","Organic nitrogen",0.313505617977528,0,2.12,0.24,3,2
"30","Achara","Orthophosphate-phosphorus",0.0924222222222222,0,0.53,0.057,2,5
"31","Achara","Oxygen saturation",93.3055555555556,76,125,93,2,6
"32","Achara","p,p-DDT",0,0,0,0,10,10
