location,sample date,Dissolved oxygen,Water temperature
Boonsri,11-Jan-98,9.1,2
Kannika,26-Jan-98,12.1,1
Kannika,26-Jan-98,11.07,1
Kannika,26-Jan-98,11.48,1
Chai,31-Jan-98,7.9,2
Chai,31-Jan-98,8,2
Chai,31-Jan-98,8,2
Boonsri,15-Feb-98,11.5,5
Chai,20-Feb-98,8.04,4
Chai,20-Feb-98,8.5,4
Chai,20-Feb-98,8.84,4
Kannika,24-Feb-98,10.4,5
Kannika,24-Feb-98,10.4,5
Kannika,24-Feb-98,10.4,5
Boonsri,12-Mar-98,11,2
Chai,19-Mar-98,8.25,4
Chai,19-Mar-98,8.38,4
Chai,19-Mar-98,8.31,4
Kannika,21-Mar-98,11.02,3
Kannika,21-Mar-98,9.9,3
Kannika,21-Mar-98,11,3
Boonsri,11-Apr-98,8.4,8
Boonsri,11-Apr-98,8.5,7
Kohsoom,16-Apr-98,3.6,21
Chai,17-Apr-98,7.5,21
Chai,17-Apr-98,7.7,21
Chai,17-Apr-98,7.3,21
Somchair,17-Apr-98,5.7,20.5
Kannika,18-Apr-98,6.5,21
Kannika,18-Apr-98,6.9,21
Kannika,18-Apr-98,6.5,21
Sakda,18-Apr-98,6.7,21
Boonsri,09-May-98,8.3,15
Boonsri,09-May-98,8.5,13
Chai,20-May-98,6.39,22
Chai,20-May-98,6.93,22
Chai,20-May-98,6.12,22
Kannika,26-May-98,6.19,21
Kannika,26-May-98,6,21
Kannika,26-May-98,6.03,21
Boonsri,06-Jun-98,7.5,24.5
Boonsri,06-Jun-98,6.8,24.5
Kohsoom,27-Jun-98,2.4,25
Chai,28-Jun-98,5.7,24
Chai,28-Jun-98,6.1,24
Chai,28-Jun-98,5.8,24
Somchair,29-Jun-98,5.7,22
Kannika,29-Jun-98,6,25
Kannika,29-Jun-98,6.4,25
Kannika,29-Jun-98,6.1,25
Sakda,30-Jun-98,6.3,25
Boonsri,11-Jul-98,6,19
Boonsri,11-Jul-98,7.7,17
Chai,23-Jul-98,7.42,26.5
Chai,23-Jul-98,7.8,26.5
Chai,23-Jul-98,7.8,26.5
Kannika,26-Jul-98,7.52,22
Kannika,26-Jul-98,7.4,22
Kannika,26-Jul-98,7.61,22
Boonsri,08-Aug-98,6.8,23
Boonsri,08-Aug-98,7,23
Kohsoom,22-Aug-98,2.6,25
Chai,23-Aug-98,5.9,23.5
Chai,23-Aug-98,6.4,23
Chai,23-Aug-98,6.1,23
Somchair,24-Aug-98,6,21
Kannika,25-Aug-98,6.3,23
Kannika,25-Aug-98,6.7,23
Kannika,25-Aug-98,6.3,23
Sakda,26-Aug-98,6.6,23
Boonsri,05-Sep-98,7.8,14
Boonsri,05-Sep-98,7.8,15
Kannika,20-Sep-98,6.83,18
Kannika,20-Sep-98,7.6,18
Kannika,20-Sep-98,7.15,18
Chai,27-Sep-98,7.48,16.5
Chai,27-Sep-98,7.14,17
Chai,27-Sep-98,7.34,17
Kohsoom,01-Oct-98,8.7,15
Boonsri,03-Oct-98,9.1,14
Boonsri,03-Oct-98,9.8,14.5
Kannika,23-Oct-98,8.6,14
Kannika,23-Oct-98,9,14
Kannika,23-Oct-98,8.7,14
Sakda,24-Oct-98,8.6,13
Sakda,24-Oct-98,8.8,13
Sakda,24-Oct-98,8.6,13
Busarakhan,29-Oct-98,9.5,9
Chai,30-Oct-98,8.4,13.2
Chai,30-Oct-98,8.6,13.2
Chai,30-Oct-98,8.5,13.2
Somchair,30-Oct-98,8.9,8.8
Boonsri,07-Nov-98,9.3,12
Boonsri,07-Nov-98,9,10
Kohsoom,14-Nov-98,9.8,5.8
