location,sample date,Orthophosphate-phosphorus,Total phosphorus
Boonsri,11/01/1998,0.06,0.09
Kannika,26/01/1998,0.07,0.09
Kannika,26/01/1998,0.07,0.1
Kannika,26/01/1998,0.07,0.1
Chai,31/01/1998,0.04,0.08
Chai,31/01/1998,0.06,0.1
Chai,31/01/1998,0.04,0.08
Boonsri,15/02/1998,0.02,0.06
Chai,20/02/1998,0.06,0.12
Chai,20/02/1998,0.06,0.1
Chai,20/02/1998,0.04,0.12
Kannika,24/02/1998,0.07,0.1
Kannika,24/02/1998,0.07,0.1
Kannika,24/02/1998,0.07,0.11
Boonsri,12/03/1998,0.05,0.08
Chai,19/03/1998,0.06,0.15
Chai,19/03/1998,0.04,0.13
Chai,19/03/1998,0.04,0.13
Kannika,21/03/1998,0.05,0.09
Kannika,21/03/1998,0.08,0.11
Kannika,21/03/1998,0.05,0.1
Boonsri,11/04/1998,0.05,0.09
Boonsri,11/04/1998,0.04,0.08
Kohsoom,16/04/1998,0.25,0.48
Chai,17/04/1998,0.05,0.09
Chai,17/04/1998,0.05,0.09
Chai,17/04/1998,0.05,0.08
Somchair,17/04/1998,0.05,0.54
Kannika,18/04/1998,0.07,0.1
Kannika,18/04/1998,0.07,0.1
Kannika,18/04/1998,0.07,0.1
Sakda,18/04/1998,0.07,0.19
Boonsri,09/05/1998,0.04,0.08
Boonsri,09/05/1998,0.05,0.09
Chai,20/05/1998,0.02,0.1
Chai,20/05/1998,0.02,0.1
Chai,20/05/1998,0.04,0.1
Kannika,26/05/1998,0.06,0.09
Kannika,26/05/1998,0.06,0.09
Kannika,26/05/1998,0.05,0.08
Boonsri,06/06/1998,0.03,0.07
Boonsri,06/06/1998,0.02,0.07
Kohsoom,27/06/1998,0.7,0.96
Chai,28/06/1998,0.06,0.12
Chai,28/06/1998,0.06,0.12
Chai,28/06/1998,0.06,0.12
Somchair,29/06/1998,0.07,0.6
Kannika,29/06/1998,0.08,0.11
Kannika,29/06/1998,0.09,0.12
Kannika,29/06/1998,0.06,0.1
Sakda,30/06/1998,0.05,0.16
Boonsri,11/07/1998,0.07,0.09
Boonsri,11/07/1998,0.06,0.13
Chai,23/07/1998,0.09,0.11
Chai,23/07/1998,0.06,0.1
Chai,23/07/1998,0.08,0.1
Kannika,26/07/1998,0.05,0.09
Kannika,26/07/1998,0.05,0.09
Kannika,26/07/1998,0.04,0.09
Boonsri,08/08/1998,0.04,0.08
Boonsri,08/08/1998,0.04,0.08
Kohsoom,22/08/1998,0.65,0.77
Chai,23/08/1998,0.07,0.12
Chai,23/08/1998,0.07,0.15
Chai,23/08/1998,0.07,0.12
Somchair,24/08/1998,0.02,0.05
Kannika,25/08/1998,0.03,0.07
Kannika,25/08/1998,0.04,0.08
Kannika,25/08/1998,0.03,0.07
Sakda,26/08/1998,0.04,0.08
Boonsri,05/09/1998,0.04,0.12
Boonsri,05/09/1998,0.04,0.15
Kannika,20/09/1998,0.04,0.08
Kannika,20/09/1998,0.03,0.07
Kannika,20/09/1998,0.04,0.08
Chai,27/09/1998,0.07,0.12
Chai,27/09/1998,0.07,0.12
Chai,27/09/1998,0.07,0.12
Kohsoom,01/10/1998,0.1,0.18
Boonsri,03/10/1998,0.02,0.04
Boonsri,03/10/1998,0.02,0.04
Kannika,23/10/1998,0.09,0.12
Kannika,23/10/1998,0.08,0.11
Kannika,23/10/1998,0.09,0.12
Sakda,24/10/1998,0.09,0.1
Sakda,24/10/1998,0.07,0.09
Sakda,24/10/1998,0.08,0.11
Busarakhan,29/10/1998,0.1,0.13
Chai,30/10/1998,0.08,0.13
Chai,30/10/1998,0.08,0.15
Chai,30/10/1998,0.08,0.13
Somchair,30/10/1998,0.19,0.27
Boonsri,07/11/1998,0.07,0.08
Boonsri,07/11/1998,0.07,0.08
Kohsoom,14/11/1998,0.12,0.26
Kannika,20/11/1998,0.04,0.09
Kannika,20/11/1998,0.05,0.1
Kannika,20/11/1998,0.05,0.1
Sakda,20/11/1998,0.08,0.1
Sakda,20/11/1998,0.08,0.1
Sakda,20/11/1998,0.08,0.1
Chai,26/11/1998,0.07,0.12
Chai,26/11/1998,0.08,0.12
Chai,26/11/1998,0.08,0.13
Somchair,28/11/1998,0.07,0.1
